Lineage	Gene
Arthropoda	125446at6656
Arthropoda	135391at6656
Arthropoda	118014at6656
Arthropoda	163896at6656
Arthropoda	110129at6656
Arthropoda	21191at6656
Arthropoda	138271at6656
Arthropoda	89864at6656
Arthropoda	120958at6656
Arthropoda	157486at6656
Arthropoda	152402at6656
Arthropoda	103125at6656
Arthropoda	113432at6656
Arthropoda	145102at6656
Arthropoda	150585at6656
Arthropoda	121220at6656
Arthropoda	58027at6656
Arthropoda	19289at6656
Arthropoda	59226at6656
Arthropoda	40065at6656
Arthropoda	99519at6656
Arthropoda	96444at6656
Arthropoda	68987at6656
Arthropoda	141175at6656
Arthropoda	63193at6656
Arthropoda	72586at6656
Arthropoda	116804at6656
Arthropoda	38140at6656
Arthropoda	149753at6656
Arthropoda	160675at6656
Arthropoda	146102at6656
Arthropoda	131588at6656
Arthropoda	107427at6656
Arthropoda	118780at6656
Arthropoda	61153at6656
Arthropoda	109325at6656
Arthropoda	123672at6656
Arthropoda	156395at6656
Arthropoda	67191at6656
Arthropoda	147891at6656
Arthropoda	45528at6656
Arthropoda	70078at6656
Arthropoda	146383at6656
Arthropoda	145033at6656
Arthropoda	133603at6656
Arthropoda	145610at6656
Arthropoda	146007at6656
Arthropoda	141163at6656
Arthropoda	44001at6656
Arthropoda	30642at6656
Arthropoda	138379at6656
Arthropoda	106788at6656
Arthropoda	57597at6656
Arthropoda	108207at6656
Arthropoda	94842at6656
Arthropoda	37387at6656
Arthropoda	135215at6656
Arthropoda	132340at6656
Arthropoda	52828at6656
Arthropoda	142833at6656
Arthropoda	90931at6656
Arthropoda	93507at6656
Arthropoda	95294at6656
Arthropoda	60299at6656
Arthropoda	70550at6656
Arthropoda	130663at6656
Arthropoda	68876at6656
Arthropoda	134216at6656
Arthropoda	53243at6656
Arthropoda	140693at6656
Arthropoda	78110at6656
Arthropoda	100296at6656
Arthropoda	104122at6656
Arthropoda	109131at6656
Arthropoda	91002at6656
Arthropoda	29730at6656
Arthropoda	45732at6656
Arthropoda	95028at6656
Arthropoda	144836at6656
Arthropoda	102321at6656
Arthropoda	112634at6656
Arthropoda	135357at6656
Arthropoda	91946at6656
Arthropoda	122665at6656
Arthropoda	113865at6656
Arthropoda	130176at6656
Arthropoda	18055at6656
Arthropoda	153873at6656
Arthropoda	132329at6656
Arthropoda	84819at6656
Arthropoda	130563at6656
Arthropoda	69394at6656
Arthropoda	151102at6656
Arthropoda	128030at6656
Arthropoda	130126at6656
Arthropoda	62010at6656
Arthropoda	137709at6656
Arthropoda	16630at6656
Arthropoda	75982at6656
Arthropoda	101621at6656
Arthropoda	46750at6656
Arthropoda	81406at6656
Arthropoda	96569at6656
Arthropoda	47495at6656
Arthropoda	97492at6656
Arthropoda	26078at6656
Arthropoda	140903at6656
Arthropoda	71230at6656
Arthropoda	97763at6656
Arthropoda	65532at6656
Arthropoda	89064at6656
Arthropoda	113300at6656
Arthropoda	156111at6656
Arthropoda	147980at6656
Arthropoda	44630at6656
Arthropoda	112556at6656
Arthropoda	12383at6656
Arthropoda	89713at6656
Arthropoda	149977at6656
Arthropoda	46692at6656
Arthropoda	146087at6656
Arthropoda	104198at6656
Arthropoda	59824at6656
Arthropoda	26653at6656
Arthropoda	162628at6656
Arthropoda	101491at6656
Arthropoda	142522at6656
Arthropoda	67113at6656
Arthropoda	142388at6656
Arthropoda	42577at6656
Arthropoda	9647at6656
Arthropoda	122816at6656
Arthropoda	129886at6656
Arthropoda	84169at6656
Arthropoda	125414at6656
Arthropoda	29213at6656
Arthropoda	107802at6656
Arthropoda	99377at6656
Arthropoda	150327at6656
Arthropoda	124452at6656
Arthropoda	148890at6656
Arthropoda	98725at6656
Arthropoda	35708at6656
Arthropoda	104588at6656
Arthropoda	774at6656
Arthropoda	76308at6656
Arthropoda	138684at6656
Arthropoda	135834at6656
Arthropoda	142613at6656
Arthropoda	109484at6656
Arthropoda	140198at6656
Arthropoda	71129at6656
Arthropoda	100070at6656
Arthropoda	51757at6656
Arthropoda	141916at6656
Arthropoda	56836at6656
Arthropoda	45915at6656
Arthropoda	47443at6656
Arthropoda	137338at6656
Arthropoda	149251at6656
Arthropoda	89677at6656
Arthropoda	161435at6656
Arthropoda	130105at6656
Arthropoda	135204at6656
Arthropoda	87103at6656
Arthropoda	71199at6656
Arthropoda	87728at6656
Arthropoda	20267at6656
Arthropoda	135828at6656
Arthropoda	56687at6656
Arthropoda	117413at6656
Arthropoda	71110at6656
Arthropoda	67491at6656
Arthropoda	102714at6656
Arthropoda	115256at6656
Arthropoda	58119at6656
Arthropoda	113622at6656
Arthropoda	141298at6656
Arthropoda	95089at6656
Arthropoda	96956at6656
Arthropoda	87575at6656
Arthropoda	111851at6656
Arthropoda	60762at6656
Arthropoda	127602at6656
Arthropoda	100760at6656
Arthropoda	139638at6656
Arthropoda	136055at6656
Arthropoda	124174at6656
Arthropoda	147002at6656
Arthropoda	31886at6656
Arthropoda	150667at6656
Arthropoda	9648at6656
Arthropoda	121847at6656
Arthropoda	101727at6656
Arthropoda	997at6656
Arthropoda	150049at6656
Arthropoda	145996at6656
Arthropoda	35995at6656
Arthropoda	56523at6656
Arthropoda	59430at6656
Arthropoda	126225at6656
Arthropoda	93085at6656
Arthropoda	49526at6656
Arthropoda	144853at6656
Arthropoda	59833at6656
Arthropoda	81919at6656
Arthropoda	107844at6656
Arthropoda	128216at6656
Arthropoda	69742at6656
Arthropoda	119144at6656
Arthropoda	87014at6656
Arthropoda	150765at6656
Arthropoda	83303at6656
Arthropoda	100227at6656
Arthropoda	31196at6656
Arthropoda	45131at6656
Arthropoda	55599at6656
Arthropoda	99307at6656
Arthropoda	37297at6656
Arthropoda	109793at6656
Arthropoda	130923at6656
Arthropoda	149405at6656
Arthropoda	112645at6656
Arthropoda	136119at6656
Arthropoda	15200at6656
Arthropoda	46960at6656
Arthropoda	73301at6656
Arthropoda	111153at6656
Arthropoda	99625at6656
Arthropoda	127349at6656
Arthropoda	16061at6656
Arthropoda	148619at6656
Arthropoda	153693at6656
Arthropoda	143279at6656
Arthropoda	100136at6656
Arthropoda	142415at6656
Arthropoda	143930at6656
Arthropoda	103479at6656
Arthropoda	159542at6656
Arthropoda	143626at6656
Arthropoda	113604at6656
Arthropoda	42929at6656
Arthropoda	32694at6656
Arthropoda	108693at6656
